key,exposure,poverty,outcome,estimate,std_error,ci_low,ci_high,unweighted_n,weighted_millions,rse_percent,suppressed
OUTCOME_NO_OPIOID_ED_COUNT,no_opioid,all,ed_count,0.3374746175357237,0.01765463111470053,0.30270384991887794,0.3722453851525695,3638,27.58958449373425,5.23139525088333,FALSE
OUTCOME_NO_OPIOID_ANY_ED,no_opioid,all,any_ed,0.21480358289481144,0.009163603567216533,0.19675588039123013,0.23285128539839275,3638,27.58958449373425,4.266038510029843,FALSE
OUTCOME_ANY_OPIOID_ED_COUNT,any_opioid,all,ed_count,0.37150104633853054,0.04435256654560394,0.2839213764345322,0.4590807162425289,816,5.76712313751575,11.938746063500354,FALSE
OUTCOME_ANY_OPIOID_ANY_ED,any_opioid,all,any_ed,0.22491885733382394,0.01812421558581761,0.1891303350023663,0.26070737966528157,816,5.76712313751575,8.058112957117553,FALSE
OUTCOME_200_PLUS_FPL_NO_OPIOID_ED_COUNT,no_opioid,200_plus_fpl,ed_count,0.27618633594528114,0.018641833525556074,0.23946226822336358,0.3129104036671987,2583,20.9354398759505,6.749730562068593,FALSE
OUTCOME_200_PLUS_FPL_ANY_OPIOID_ED_COUNT,any_opioid,200_plus_fpl,ed_count,0.27853835573770086,0.03310610489595634,0.2130646677554957,0.344012043719906,566,4.21000580258875,11.885653883565073,FALSE
OUTCOME_BELOW_200_FPL_NO_OPIOID_ED_COUNT,no_opioid,below_200_fpl,ed_count,0.5303013755998408,0.04023465924429363,0.45092921468999014,0.6096735365096915,1055,6.65414461778375,7.5871308458860645,FALSE
OUTCOME_BELOW_200_FPL_ANY_OPIOID_ED_COUNT,any_opioid,below_200_fpl,ed_count,0.6228459245150384,0.13228393974347613,0.35832783868793416,0.8873640103421426,250,1.557117334927,21.238629737599283,FALSE
