key,label,observed_mean,predicted_mean,observed_minus_predicted,std_error,ci_low,ci_high,observed_to_predicted_ratio,unweighted_n,design_df
M1_CAL_OVERALL,Overall observed versus predicted,0.34335753041204903,0.3433575304121752,-1.2619999531206455e-13,0.014061880000019959,-0.027689173718280193,0.02768917371802779,0.9999999999996325,4454,261
M1_CAL_NO_OPIOID,No observed linked opioid,0.3374746175357237,0.33747461753586017,-1.3644600484468295e-13,0.016001196573201676,-0.031514330943873195,0.0315143309436003,0.9999999999995957,3638,250
M1_CAL_ANY_OPIOID,Any observed linked opioid,0.37150104633853054,0.3715010463386077,-7.718186577050992e-14,0.036001711616244866,-0.07108986615444482,0.07108986615429044,0.9999999999997923,816,163
M1_CAL_PREDICTION_GROUP_1,Predicted-mean group 1,0.07025796899819452,0.10374333714708034,-0.03348536814888582,0.01826384832462436,-0.06994016198148696,0.0029694256837153182,0.67722873516771,341,67
M1_CAL_PREDICTION_GROUP_2,Predicted-mean group 2,0.13213736215321203,0.12948855763628261,0.0026488045169294322,0.029444709703003023,-0.055715718280056885,0.061013327313915754,1.0204558963763393,414,108
M1_CAL_PREDICTION_GROUP_3,Predicted-mean group 3,0.18261963585385876,0.1506548371940863,0.03196479865977247,0.05515749903069376,-0.07740233288262266,0.14133193020216758,1.212172401863159,399,105
M1_CAL_PREDICTION_GROUP_4,Predicted-mean group 4,0.15969918651231546,0.1742319203368211,-0.014532733824505656,0.02459901724669463,-0.06327253327076253,0.03420706562175122,0.9165897167613644,427,112
M1_CAL_PREDICTION_GROUP_5,Predicted-mean group 5,0.1794548952226942,0.20809804795771525,-0.028643152735021046,0.028968856642948414,-0.08600438219482143,0.02871807672477934,0.8623574174956161,452,119
M1_CAL_PREDICTION_GROUP_6,Predicted-mean group 6,0.3112903356715901,0.24852683920598534,0.06276349646560477,0.03982646565488098,-0.016260851808584317,0.14178784473979383,1.2525421265008114,427,99
M1_CAL_PREDICTION_GROUP_7,Predicted-mean group 7,0.3028425703719424,0.3066304534526373,-0.0037878830806949188,0.042511182066656134,-0.08805242091728767,0.08047665475589784,0.9876467485925041,441,108
M1_CAL_PREDICTION_GROUP_8,Predicted-mean group 8,0.34952261035979804,0.3864790629263036,-0.0369564525665055,0.034692132815530366,-0.10563299447257118,0.03172008933956017,0.904376572726392,467,122
M1_CAL_PREDICTION_GROUP_9,Predicted-mean group 9,0.5777451711294502,0.5362030149722837,0.04154215615716648,0.052618559130609255,-0.06259650282136323,0.1456808151356962,1.0774746784281208,516,125
M1_CAL_PREDICTION_GROUP_10,Predicted-mean group 10,1.1690673768910333,1.1904488047724535,-0.021381427881420233,0.08013995957872692,-0.17994030065408817,0.13717744489124772,0.9820391874092333,570,129
