key,variable,level,unit,overall,overall_se,no_opioid,no_opioid_se,any_opioid,any_opioid_se,standardized_difference,unweighted_n,suppressed
DESC_AGEY1X_MEAN,"Age, years",mean,mean,57.23204108502947,0.36247543867615056,58.115585275555226,0.41182648889078355,53.00521663248992,0.7265834839902181,-0.29529457914403356,4454,FALSE
DESC_SEX_MALE,Sex,male,proportion,0.43141628375859226,0.00890051883711092,0.436475238564968,0.010243995606138864,0.4072145357202088,0.020050941186557793,-0.059079835597088584,1874,FALSE
DESC_SEX_FEMALE,Sex,female,proportion,0.5685837162414077,0.008900518837110918,0.5635247614350319,0.010243995606138864,0.5927854642797912,0.020050941186557793,0.0590798355970887,2580,FALSE
DESC_RACE_ETHNICITY_HISPANIC,Race/ethnicity,hispanic,proportion,0.08748240789706789,0.006044974321074908,0.08685515716909266,0.006083854868852222,0.09048313920548309,0.011930180719852333,0.012840565218504149,464,FALSE
DESC_RACE_ETHNICITY_NON_HISPANIC_WHITE,Race/ethnicity,non_hispanic_white,proportion,0.7836313151998856,0.009579896623135287,0.7853672113319399,0.010434219742929152,0.775326888215119,0.017588573942762167,-0.02438341865731601,3326,FALSE
DESC_RACE_ETHNICITY_NON_HISPANIC_BLACK,Race/ethnicity,non_hispanic_black,proportion,0.07503485061941967,0.006241253062218363,0.07218794419707776,0.007020435768750769,0.0886542867597742,0.010722147007991099,0.06250330037769092,454,FALSE
DESC_RACE_ETHNICITY_NON_HISPANIC_ASIAN,Race/ethnicity,non_hispanic_asian,proportion,0.026660439956276177,0.004886374720942916,0.02966475449388779,0.005792565936539728,0.012287972470365251,0.0034275488498747087,-0.10787070318543261,83,FALSE
DESC_RACE_ETHNICITY_NON_HISPANIC_OTHER_MULTIPLE,Race/ethnicity,non_hispanic_other_multiple,proportion,0.027190986327350595,0.0032214805644184925,0.025924932808001844,0.003483733334048606,0.03324771334925851,0.007832544569331641,0.04502458775371643,127,FALSE
DESC_REGION_NORTHEAST,Census region,northeast,proportion,0.1838872194359576,0.015764777045662516,0.18697144599223725,0.015509280054744513,0.16913245746135003,0.02538401523904509,-0.046048910965499415,794,FALSE
DESC_REGION_MIDWEST,Census region,midwest,proportion,0.23981573289186844,0.017282232742865063,0.22993574638975514,0.017381187394857577,0.2870810185286214,0.02601633682987961,0.13383879908195143,1061,FALSE
DESC_REGION_SOUTH,Census region,south,proportion,0.3580788452765505,0.019574696711069848,0.35886501272812055,0.020218603828560347,0.35431786552735445,0.029210681432160435,-0.00948437762233762,1546,FALSE
DESC_REGION_WEST,Census region,west,proportion,0.21821820239562345,0.017872796934627913,0.22422779488988698,0.018371927589535913,0.1894686584826742,0.022551072529590484,-0.08415515295501352,1053,FALSE
DESC_POVERTY_2_X200_PLUS_FPL,Family income,200_plus_fpl,proportion,0.7538347596086465,0.009804795819356017,0.7588167875708696,0.010399662542136373,0.7300010251562368,0.019473727756663006,-0.06689269154243664,3149,FALSE
DESC_POVERTY_2_BELOW_200_FPL,Family income,below_200_fpl,proportion,0.24616524039135343,0.009804795819356017,0.2411832124291304,0.010399662542136373,0.2699989748437633,0.019473727756663006,0.06689269154243685,1305,FALSE
DESC_INSURANCE_ANY_PRIVATE,Insurance,any_private,proportion,0.6805909827248667,0.009648455386493629,0.6762564513143902,0.010068889910054637,0.7013271310155382,0.020759832351575393,0.053771162625296555,2776,FALSE
DESC_INSURANCE_PUBLIC_ONLY,Insurance,public_only,proportion,0.3052441510067864,0.009534247869181068,0.3094187412458038,0.009953531912675541,0.28527315205639775,0.020006235895693128,-0.05243219340747086,1608,FALSE
DESC_INSURANCE_UNINSURED,Insurance,uninsured,proportion,0.014164866268346817,0.0023185229006418492,0.014324807439805977,0.0026130669577119265,0.01339971692806411,0.0044429730739355315,-0.007828451069195191,70,FALSE
DESC_ERTOTY1_MEAN,Year-1 ED visits,mean,mean,0.5109803517363435,0.02287219854046427,0.4744996365131684,0.020894388965768482,0.6855019894822653,0.07533723112777158,0.18823013650135947,4454,FALSE
DESC_IPDISY1_MEAN,Year-1 inpatient discharges,mean,mean,0.37871997330359275,0.014258898119169286,0.33062326424743194,0.015212520424977664,0.6088118556397673,0.03270565916349112,0.3648069966246027,4454,FALSE
DESC_OPTOTVY1_MEAN,Year-1 outpatient visits,mean,mean,2.5112497951116115,0.11433868818166164,2.2383902044772617,0.11168720846526449,3.816594340602787,0.35775465717623445,0.27684081697266055,4454,FALSE
DESC_OBTOTVY1_MEAN,Year-1 office-based visits,mean,mean,15.571571592091574,0.32144521793881387,14.971598907530023,0.3606058880388039,18.441806313969536,0.7174648013376578,0.20401801421543886,4454,FALSE
DESC_PHYSICAL_HEALTH_3_EXCELLENT_VERY_GOOD,Physical health,excellent_very_good,proportion,0.5056475817196737,0.009743253889174396,0.510293769563533,0.010106120495860939,0.4834204870252584,0.022775545729079093,-0.05374999391730079,2115,FALSE
DESC_PHYSICAL_HEALTH_3_GOOD,Physical health,good,proportion,0.29057113689923647,0.0081000465952346,0.29366433578792306,0.009177724518379613,0.2757734518038382,0.019673634996496013,-0.03940498225631732,1297,FALSE
