key,label,estimand,estimate,std_error,ci_low,ci_high,p_value,unweighted_n,weighted_millions,design_df,model_status,suppressed,model_id,covariate_block,timing_note,converged,supported,error
R4_INPATIENT_RATIO,any_opioid versus no_opioid ratio,standardized_mean_ratio,1.1548746270099546,0.19473757390121932,0.8281548484027793,1.6104903650370341,0.3941856343292709,1090,7.753103600176,196,pass,FALSE,R4_INPATIENT,Full model within inpatient events,"Participants can have qualifying events in more than one setting; contrasts are setting-restricted, not mutually exclusive strata.",TRUE,TRUE,
R4_INPATIENT_DIFFERENCE,any_opioid versus no_opioid difference,standardized_mean_difference,0.06955184457550356,0.08572939959187471,-0.09951863826796947,0.2386223274189766,0.4181803084741116,1090,7.753103600176,196,pass,FALSE,R4_INPATIENT,Full model within inpatient events,"Participants can have qualifying events in more than one setting; contrasts are setting-restricted, not mutually exclusive strata.",TRUE,TRUE,
R4_EMERGENCY_ROOM_NOT_ESTIMATED,emergency_room setting-specific contrast,not_estimated_sparse_support,,,,,,313,,,not_estimated,TRUE,R4_EMERGENCY_ROOM,Full model excluding constant surgery_emergency_room,Setting-specific model withheld because at least one exposure cell had fewer than 30 ED-positive participants.,,FALSE,sparse ED-positive support
R4_OUTPATIENT_RATIO,any_opioid versus no_opioid ratio,standardized_mean_ratio,0.6754866732580113,0.09399197398904997,0.5134140545675719,0.8887217669439992,0.005284410360375913,1426,10.652455951356,204,pass,FALSE,R4_OUTPATIENT,Full model within outpatient events,"Participants can have qualifying events in more than one setting; contrasts are setting-restricted, not mutually exclusive strata.",TRUE,TRUE,
R4_OUTPATIENT_DIFFERENCE,any_opioid versus no_opioid difference,standardized_mean_difference,-0.1260482964783342,0.04269538933891761,-0.2102291257995869,-0.041867467157081506,0.0035242045691013294,1426,10.652455951356,204,pass,FALSE,R4_OUTPATIENT,Full model within outpatient events,"Participants can have qualifying events in more than one setting; contrasts are setting-restricted, not mutually exclusive strata.",TRUE,TRUE,
R4_OFFICE_BASED_RATIO,any_opioid versus no_opioid ratio,standardized_mean_ratio,1.0340047367557843,0.14983093765425765,0.7771913629727366,1.3756789467446828,0.8176987955933184,2557,19.3804385121055,230,pass,FALSE,R4_OFFICE_BASED,Full model within office_based events,"Participants can have qualifying events in more than one setting; contrasts are setting-restricted, not mutually exclusive strata.",TRUE,TRUE,
R4_OFFICE_BASED_DIFFERENCE,any_opioid versus no_opioid difference,standardized_mean_difference,0.010323756958653951,0.04509246567122828,-0.07852336088868274,0.09917087480599064,0.8191140327323124,2557,19.3804385121055,230,pass,FALSE,R4_OFFICE_BASED,Full model within office_based events,"Participants can have qualifying events in more than one setting; contrasts are setting-restricted, not mutually exclusive strata.",TRUE,TRUE,
