key,model,term,estimate,std_error,ci_low,ci_high,p_value,exponentiated,exponentiated_ci_low,exponentiated_ci_high,design_df,converged
M1_COEF_X.Intercept.,M1,(Intercept),-2.3145279819201208,0.25455032359284946,-2.8157616811100383,-1.8132942827302032,4.648218805488259e-17,0.0988128144309982,0.05985910782013888,0.1631159008435791,261,TRUE
M1_COEF_opioid_binaryany_opioid,M1,opioid_binaryany_opioid,-0.025651153842150134,0.11044602110029625,-0.24312983128219823,0.19182752359789795,0.816549906169077,0.9746750419533048,0.7841696974049497,1.2114615504150188,261,TRUE
M1_COEF_ns.AGEY1X..3.1,M1,"ns(AGEY1X, 3)1",-0.021628061051542923,0.15276216198677736,-0.32243122825298787,0.27917510614990204,0.8875357266761579,0.9786041483681464,0.7243857473673017,1.322038820730356,261,TRUE
M1_COEF_ns.AGEY1X..3.2,M1,"ns(AGEY1X, 3)2",0.09740274376540416,0.5484466574603779,-0.9825406758584119,1.1773461633892202,0.8591954134117101,1.1023042303911061,0.374358765300863,3.2457490753865565,261,TRUE
M1_COEF_ns.AGEY1X..3.3,M1,"ns(AGEY1X, 3)3",0.6054800532874716,0.15126786955636845,0.307619289426921,0.9033408171480222,8.450311534761545e-5,1.8321315185697042,1.3601830542817184,2.46783393659402,261,TRUE
M1_COEF_sexfemale,M1,sexfemale,-0.08449913578089178,0.0894620495622582,-0.26065838557593723,0.09166011401415368,0.34589261953256456,0.9189724495700393,0.7705441036389699,1.0959922463626361,261,TRUE
M1_COEF_race_modelhispanic,M1,race_modelhispanic,0.15195246920380912,0.14955196656445074,-0.14252951912838807,0.4464344575360063,0.3106725811272705,1.1641049042841818,0.867161956049324,1.562730259007585,261,TRUE
M1_COEF_race_modelnon_hispanic_black,M1,race_modelnon_hispanic_black,0.16753084533184606,0.11403303312117143,-0.05701099855358335,0.39207268921727545,0.14316040939995203,1.182381760580222,0.9445836802551696,1.4800452908260313,261,TRUE
M1_COEF_race_modelnon_hispanic_asian_other_multiple,M1,race_modelnon_hispanic_asian_other_multiple,0.21458121513470532,0.17555333029166723,-0.13109992133065637,0.560262351600067,0.2228402071906559,1.2393427702773443,0.8771301260027957,1.7511318522809765,261,TRUE
M1_COEF_regionmidwest,M1,regionmidwest,0.1786883853771438,0.12843133554469968,-0.07420507984561928,0.43158185059990684,0.16547435451261908,1.1956481046777339,0.9284812615212661,1.5396911596009784,261,TRUE
